authors,number of publications,Degree,Betweenness,Deg_Cent
Diêgo Madureira de Oliveira,1,7,0.0,0.000418435052902146
Du Chu Wu,1,7,0.0,0.000418435052902146
E Labyt,1,7,0.0,0.000418435052902146
E Pascale,1,7,0.0,0.000418435052902146
E Verdaguer,1,7,0.0,0.000418435052902146
Eleonora Maries,1,7,0.0,0.000418435052902146
Emily N Mangano,2,7,0.0,0.000418435052902146
Enzhu Jiang,1,7,0.0,0.000418435052902146
Esther J Smits,1,7,0.0,0.000418435052902146
Eugenia Mamikonyan,1,7,0.0,0.000418435052902146
Eugenia Yakunin,1,7,0.0,0.000418435052902146
Eunkyung Park,1,7,0.0,0.000418435052902146
Eva de Lago,1,7,0.0,0.000418435052902146
F Doná,1,7,0.0,0.000418435052902146
F Klostermann,1,7,0.0,0.000418435052902146
F Martínez-Sánchez,1,7,0.0,0.000418435052902146
F Nicoletti,1,7,0.0,0.000418435052902146
Fabien Etchepare,1,7,0.0,0.000418435052902146
Ferdinando Fiorino,1,7,0.0,0.000418435052902146
Filipe C Matheus,1,7,0.0,0.000418435052902146
Florian Kölbl,1,7,0.0,0.000418435052902146
Florian Nagel,1,7,0.0,0.000418435052902146
Francesca Antonelli,1,7,0.0,0.000418435052902146
Frederick J A Meijer,1,7,0.0,0.000418435052902146
Fulvio Lauretani,1,7,0.0,0.000418435052902146
Georg Goebel,1,7,0.0,0.000418435052902146
GianPietro Sechi,1,7,0.0,0.000418435052902146
Gianni Belcaro,1,7,0.0,0.000418435052902146
Giia-Sheun Peng,1,7,0.0,0.000418435052902146
Giorgio Treglia,1,7,0.0,0.000418435052902146
Giovanni Cossu,1,7,0.0,0.000418435052902146
Giulio Lancioni,1,7,0.0,0.000418435052902146
H Hanyu,1,7,0.0,0.000418435052902146
Hao Yang,1,7,0.0,0.000418435052902146
Hirohide Asai,1,7,0.0,0.000418435052902146
Hitoshi Fukuda,1,7,0.0,0.000418435052902146
Hélio V Nobre-Júnior,1,7,0.0,0.000418435052902146
I Tuin,1,7,0.0,0.000418435052902146
Imane Nafia,1,7,0.0,0.000418435052902146
Irene Avila,1,7,0.0,0.000418435052902146
Izabella D Greene,1,7,0.0,0.000418435052902146
J Chou,1,7,0.0,0.000418435052902146
J M Shine,2,7,0.0,0.000418435052902146
J N Joyce,1,7,0.0,0.000418435052902146
J Spiegel,1,7,0.0,0.000418435052902146
J Taura,1,7,0.0,0.000418435052902146
J Timpka,1,7,0.0,0.000418435052902146
J Xu,1,7,0.0,0.000418435052902146
Jagat R Kanwar,1,7,0.0,0.000418435052902146
James M Shine,1,7,0.0,0.000418435052902146
Jamie L Eberling,1,7,0.0,0.000418435052902146
Jaume Folch,1,7,0.0,0.000418435052902146
Javier Virués-Ortega,1,7,0.0,0.000418435052902146
Jean M Berliner,1,7,0.0,0.000418435052902146
Jianjun Wu,1,7,0.0,0.000418435052902146
Jie Li,1,7,0.0,0.000418435052902146
Jimena H Martínez,1,7,0.0,0.000418435052902146
Jing He,1,7,0.0,0.000418435052902146
Jinghua Jin,1,7,0.0,0.000418435052902146
Jiro Fukae,2,7,0.0,0.000418435052902146
Joanna Chwiej,2,7,0.0,0.000418435052902146
John D Salamone,1,7,0.0,0.000418435052902146
Joji Maruo,1,7,0.0,0.000418435052902146
Jong-Heon Kim,1,7,0.0,0.000418435052902146
José-Manuel García-Moreno,1,7,0.0,0.000418435052902146
Joëlle Micallef,1,7,0.0,0.000418435052902146
Julia H Meijer,1,7,0.0,0.000418435052902146
Julia Heller,1,7,0.0,0.000418435052902146
Jun Huang,1,7,0.0,0.000418435052902146
Justin N Weilnau,1,7,0.0,0.000418435052902146
K Ishibashi,1,7,0.0,0.000418435052902146
K Winkler-Stuck,1,7,0.0,0.000418435052902146
Karla Eggert,1,7,0.0,0.000418435052902146
Kazuhiro Imamura,2,7,0.0,0.000418435052902146
Kazuo Umezawa,1,7,0.0,0.000418435052902146
Keita Sakurai,1,7,0.0,0.000418435052902146
Kristyn Burak,1,7,0.0,0.000418435052902146
L Burghaus,1,7,0.0,0.000418435052902146
L E Munro-Davies,1,7,0.0,0.000418435052902146
L Johansson,1,7,0.0,0.000418435052902146
L Rocchi,1,7,0.0,0.000418435052902146
L Sui,1,7,0.0,0.000418435052902146
L Tenenbaum,1,7,0.0,0.000418435052902146
Lesley Axelrod,1,7,0.0,0.000418435052902146
Li-Li Zhou,1,7,0.0,0.000418435052902146
Linda B Moran,1,7,0.0,0.000418435052902146
Liya Qin,1,7,0.0,0.000418435052902146
Louis C Tan,1,7,0.0,0.000418435052902146
Louise M Collins,1,7,0.0,0.000418435052902146
M Alegre,1,7,0.0,0.000418435052902146
M Dufek,1,7,0.0,0.000418435052902146
M Grossman,1,7,0.0,0.000418435052902146
M Rango,1,7,0.0,0.000418435052902146
Mahmoud Mahami Oskouei,1,7,0.0,0.000418435052902146
Makiko-Iijima Kitami,1,7,0.0,0.000418435052902146
Makoto Hashimoto,1,7,0.0,0.000418435052902146
Mallikarjuna Nallegowda,1,7,0.0,0.000418435052902146
Manju Liu,1,7,0.0,0.000418435052902146
Manu Sharma,1,7,0.0,0.000418435052902146
Marc Yeste-Velasco,1,7,0.0,0.000418435052902146
Marcel Levy Nogueira,1,7,0.0,0.000418435052902146
Marco Timmer,1,7,0.0,0.000418435052902146
Marcus L F Janssen,1,7,0.0,0.000418435052902146
Maria Angeliki S Pavlou,1,7,0.0,0.000418435052902146
Maria Antonietta Stasi,1,7,0.0,0.000418435052902146
Maria Stamelou,1,7,0.0,0.000418435052902146
Marka van Blitterswijk,1,7,0.0,0.000418435052902146
Markus Schulze,1,7,0.0,0.000418435052902146
Martine Roussel,1,7,0.0,0.000418435052902146
Maryka Quik,2,7,0.0,0.000418435052902146
Maryse Letiembre,1,7,0.0,0.000418435052902146
María José Gallardo,1,7,0.0,0.000418435052902146
Masahiko Suzuki,1,7,0.0,0.000418435052902146
Matthieu F Bastide,1,7,0.0,0.000418435052902146
Merja H Voutilainen,1,7,0.0,0.000418435052902146
Mi Sun Ju,1,7,0.0,0.000418435052902146
Miratul M K Muqit,1,7,0.0,0.000418435052902146
Moazamehosadat Razavinasab,1,7,0.0,0.000418435052902146
Mohd Moshahid Khan,1,7,0.0,0.000418435052902146
Monica C Serra,1,7,0.0,0.000418435052902146
Monica Gagliardi,1,7,0.0,0.000418435052902146
Monika Bialecka,1,7,0.0,0.000418435052902146
Muhammad Nazmuddin,1,7,0.0,0.000418435052902146
Mun Kyung Sunwoo,1,7,0.0,0.000418435052902146
Muralikrishnan Dhanasekaran,1,7,0.0,0.000418435052902146
Naiani F Marques,1,7,0.0,0.000418435052902146
Naroa Ibarretxe-Bilbao,1,7,0.0,0.000418435052902146
Niki Chondrogianni,1,7,0.0,0.000418435052902146
Noriko Sakka,1,7,0.0,0.000418435052902146
O Tucha,1,7,0.0,0.000418435052902146
Olga Pletnikova,1,7,0.0,0.000418435052902146
P Amami,1,7,0.0,0.000418435052902146
Qiao-Xin Li,1,7,0.0,0.000418435052902146
Qinyong Ye,1,7,0.0,0.000418435052902146
R A Lawson,1,7,0.0,0.000418435052902146
Rachel M Bartlett,1,7,0.0,0.000418435052902146
Radka Ghorbani Saeedian,1,7,0.0,0.000418435052902146
Reinald Pamplona,1,7,0.0,0.000418435052902146
Remy Robert,1,7,0.0,0.000418435052902146
Reona Kobayashi,1,7,0.0,0.000418435052902146
Ricardo Guerrero-Ferreira,1,7,0.0,0.000418435052902146
Ricardo L L Dolci,1,7,0.0,0.000418435052902146
Rita Moretti,1,7,0.0,0.000418435052902146
Robert D Abbott,1,7,0.0,0.000418435052902146
Rui Liu,1,7,0.0,0.000418435052902146
S Bannier,1,7,0.0,0.000418435052902146
S Bleuse,1,7,0.0,0.000418435052902146
S Bohic,1,7,0.0,0.000418435052902146
Sabine Nunnemann,1,7,0.0,0.000418435052902146
Samareh Azeredo da Silveira,1,7,0.0,0.000418435052902146
Sarah Jesse,1,7,0.0,0.000418435052902146
Sarah M Rothman,1,7,0.0,0.000418435052902146
Scott Y H Kim,1,7,0.0,0.000418435052902146
Sepill Park,1,7,0.0,0.000418435052902146
Seung-Jae Lee,1,7,0.0,0.000418435052902146
Sharon Hassin-Baer,1,7,0.0,0.000418435052902146
Sher Hayat Khan,1,7,0.0,0.000418435052902146
Shiqing Zhang,1,7,0.0,0.000418435052902146
Shunmei Chiba,1,7,0.0,0.000418435052902146
Siobhan Ewert,1,7,0.0,0.000418435052902146
Stefanie Behnke,1,7,0.0,0.000418435052902146
Stephanie Bognar,1,7,0.0,0.000418435052902146
Svjetlana Miocinovic,1,7,0.0,0.000418435052902146
T Fieblinger,1,7,0.0,0.000418435052902146
Tae Woo Jung,1,7,0.0,0.000418435052902146
Tainá M Marques,1,7,0.0,0.000418435052902146
Takashi Morishita,1,7,0.0,0.000418435052902146
Tanya Chotibut,1,7,0.0,0.000418435052902146
Taresa Stefurak,1,7,0.0,0.000418435052902146
Tatiana Dubayova,1,7,0.0,0.000418435052902146
Thibaud Lebouvier,1,7,0.0,0.000418435052902146
Thierry Piette,1,7,0.0,0.000418435052902146
Tsung-Hsueh Lu,1,7,0.0,0.000418435052902146
U Fiszer,1,7,0.0,0.000418435052902146
Ulrika H Julku,1,7,0.0,0.000418435052902146
Valérie Cochen De Cock,2,7,0.0,0.000418435052902146
Veerappan Venkatesh Gobi,1,7,0.0,0.000418435052902146
Victor J Geraedts,1,7,0.0,0.000418435052902146
Wendy Boehmler,1,7,0.0,0.000418435052902146
Xi-Bin Liang,1,7,0.0,0.000418435052902146
Xing Liu,1,7,0.0,0.000418435052902146
Y K Kim,1,7,0.0,0.000418435052902146
Ya-Ping Yan,1,7,0.0,0.000418435052902146
Yajing Liu,1,7,0.0,0.000418435052902146
Yan-Hua Ren,1,7,0.0,0.000418435052902146
Yi-Ting Lin,1,7,0.0,0.000418435052902146
Yogeshwar V Kalkonde,1,7,0.0,0.000418435052902146
YongPing Chen,1,7,0.0,0.000418435052902146
Yoshiki Abe,1,7,0.0,0.000418435052902146
Yoshiko Fujita,1,7,0.0,0.000418435052902146
Yukyung Lee,1,7,0.0,0.000418435052902146
Zhao Feng Peng,1,7,0.0,0.000418435052902146
Zhen Fan,1,7,0.0,0.000418435052902146
Zheng-Hao Huang,1,7,0.0,0.000418435052902146
 A Amad,1,6,0.0,0.000358658616773268
 A B Young,1,6,0.0,0.000358658616773268
 A Campbell,1,6,0.0,0.000358658616773268
 A Cámara,1,6,0.0,0.000358658616773268
 A D Siderowf,1,6,0.0,0.000358658616773268
 A Daniele,1,6,0.0,0.000358658616773268
 A Green,1,6,0.0,0.000358658616773268
 A H Sibilia,1,6,0.0,0.000358658616773268
 A Hirner,1,6,0.0,0.000358658616773268
 A Hurtado-Lorenzo,1,6,0.0,0.000358658616773268
 A K West,1,6,0.0,0.000358658616773268
 A Kempe,1,6,0.0,0.000358658616773268
 A L Gil-Martinez,1,6,0.0,0.000358658616773268
 A M Owen,1,6,0.0,0.000358658616773268
 A Macias,1,6,0.0,0.000358658616773268
 A Methner,1,6,0.0,0.000358658616773268
 A Murray,1,6,0.0,0.000358658616773268
 A Mínguez-Castellanos,1,6,0.0,0.000358658616773268
 A Müller-Heine,1,6,0.0,0.000358658616773268
 A Niessen,1,6,0.0,0.000358658616773268
 A Ortega-Moreno,1,6,0.0,0.000358658616773268
 A Pedotti,1,6,0.0,0.000358658616773268
 A R Botelho,1,6,0.0,0.000358658616773268
 A R Malek,1,6,0.0,0.000358658616773268
 A Reggio,1,6,0.0,0.000358658616773268
 A Swijsen,1,6,0.0,0.000358658616773268
 A Tamas,1,6,0.0,0.000358658616773268
 A Testa,1,6,0.0,0.000358658616773268
 A Väänänen,1,6,0.0,0.000358658616773268
 A W Davidson,1,6,0.0,0.000358658616773268
 Aarti A Patel,1,6,0.0,0.000358658616773268
 Abel Bult-Ito,1,6,0.0,0.000358658616773268
 Abhishek Nagar,1,6,0.0,0.000358658616773268
 Abiodun Ayodele Ojo,1,6,0.0,0.000358658616773268
 Adetokunbo Adedotun Okunnuga,1,6,0.0,0.000358658616773268
 Aedín M Minogue,1,6,0.0,0.000358658616773268
 Agnieszka Krzyżosiak,1,6,0.0,0.000358658616773268
 Agostina Stahl,1,6,0.0,0.000358658616773268
 Ahmed A Othman,1,6,0.0,0.000358658616773268
 Akira Nakashima,1,6,0.0,0.000358658616773268
 Akira Okui,1,6,0.0,0.000358658616773268
 Akira Ota,1,6,0.0,0.000358658616773268
 Alastair Noyce,1,6,0.0,0.000358658616773268
 Aleph A Corona-Morales,1,6,0.0,0.000358658616773268
 Alessandro Giuliano,1,6,0.0,0.000358658616773268
 Alexander Bury,1,6,0.0,0.000358658616773268
 Alexander E Volk,1,6,0.0,0.000358658616773268
 Alexander Leff,1,6,0.0,0.000358658616773268
 Alexander Rotenberg,1,6,0.0,0.000358658616773268
 Alexandra E Melendez,1,6,0.0,0.000358658616773268
 Alexandros L Zografos,1,6,0.0,0.000358658616773268
 Alexis C Garduno,1,6,0.0,0.000358658616773268
 Ali H Al-Refai,1,6,0.0,0.000358658616773268
 Ali-Mohammad Rousta,1,6,0.0,0.000358658616773268
 Alireza Shahmohammadi,1,6,0.0,0.000358658616773268
 Alok Kalra,1,6,0.0,0.000358658616773268
 Alok Sahay,1,6,0.0,0.000358658616773268
 Alvaro Pascual-Leone,1,6,0.0,0.000358658616773268
 Amanda Gysbers,1,6,0.0,0.000358658616773268
 Amber D Van Laar,1,6,0.0,0.000358658616773268
 Ami Radunskaya,1,6,0.0,0.000358658616773268
 Amidou Traoré,1,6,0.0,0.000358658616773268
 Amy Manning-Bog,1,6,0.0,0.000358658616773268
 Ana Lara Malak,1,6,0.0,0.000358658616773268
 Ana M Marques da Silva,1,6,0.0,0.000358658616773268
 Ana de la Encarnación,1,6,0.0,0.000358658616773268
 Analía López Díaz,1,6,0.0,0.000358658616773268
 Anders B Klein,1,6,0.0,0.000358658616773268
 Anders Johansson,1,6,0.0,0.000358658616773268
 Andrea M Burden,1,6,0.0,0.000358658616773268
 Andrea Spissu,1,6,0.0,0.000358658616773268
 Andrea Tamas,1,6,0.0,0.000358658616773268
 Andreas Hirner,1,6,0.0,0.000358658616773268
 Andreas Lueschow,1,6,0.0,0.000358658616773268
 Andreas Müller-Schiffmann,1,6,0.0,0.000358658616773268
 Andreas Türler,1,6,0.0,0.000358658616773268
 Andreas Wirrwar,1,6,0.0,0.000358658616773268
 Andrew C Heath,1,6,0.0,0.000358658616773268
 Andrew Garmashov,1,6,0.0,0.000358658616773268
 Andrew J Tarr,1,6,0.0,0.000358658616773268
 Andrew S Feigin,1,6,0.0,0.000358658616773268
 Andrzej Moniczewski,1,6,0.0,0.000358658616773268
 Andy M Poczobutt,1,6,0.0,0.000358658616773268
 Aneeq Malik,1,6,0.0,0.000358658616773268
 Anete C Ferraz,1,6,0.0,0.000358658616773268
 Angeline Dharmaindra,1,6,0.0,0.000358658616773268
 Angeline Dharmarinda,1,6,0.0,0.000358658616773268
 Angeline Dharminda,1,6,0.0,0.000358658616773268
 Angelita Rebollo,1,6,0.0,0.000358658616773268
 Angélica Cristiane Ovando,1,6,0.0,0.000358658616773268
 Anja Herrmann,1,6,0.0,0.000358658616773268
 Anmin Liu,1,6,0.0,0.000358658616773268
 Ann Johnson,1,6,0.0,0.000358658616773268
 Ann L Gruber-Baldini,1,6,0.0,0.000358658616773268
 Anna A Kolacheva,1,6,0.0,0.000358658616773268
 Anna Erdei,1,6,0.0,0.000358658616773268
 Anna Hrabovska,1,6,0.0,0.000358658616773268
 Anna Jiménez,1,6,0.0,0.000358658616773268
 Anna Karlovasitou,1,6,0.0,0.000358658616773268
 Anna Katharina Simon,1,6,0.0,0.000358658616773268
 Anna Podleśny-Drabiniok,1,6,0.0,0.000358658616773268
 Anna Trendafilova,1,6,0.0,0.000358658616773268
 Anne M Andrews,1,6,0.0,0.000358658616773268
 Anne Schaar,1,6,0.0,0.000358658616773268
 Anne Taupignon,1,6,0.0,0.000358658616773268
 Anne-Marie van Dam,1,6,0.0,0.000358658616773268
 Anne-Sophie Denibaud,1,6,0.0,0.000358658616773268
 Annemieke J M Rozemuller,1,6,0.0,0.000358658616773268
 Anthony G Phillips,1,6,0.0,0.000358658616773268
 Antonia Pusso,1,6,0.0,0.000358658616773268
 Antonio Herranz,1,6,0.0,0.000358658616773268
 Antonio Salvador,1,6,0.0,0.000358658616773268
 Antoon Tm Willemsen,1,6,0.0,0.000358658616773268
 Antti Ahonen,1,6,0.0,0.000358658616773268
 Anubhuti Dixit,1,6,0.0,0.000358658616773268
 Ari Zimran,1,6,0.0,0.000358658616773268
 Arif Dalvi,1,6,0.0,0.000358658616773268
 Arjun P Raju,1,6,0.0,0.000358658616773268
 Arne Mørk,1,6,0.0,0.000358658616773268
 Aron D Mosnaim,1,6,0.0,0.000358658616773268
 Arsenio Veicsteinas,1,6,0.0,0.000358658616773268
 Artak Tovmasyan,1,6,0.0,0.000358658616773268
 Asadullah Madni,1,6,0.0,0.000358658616773268
 Asgar Ali,1,6,0.0,0.000358658616773268
 Ashish Singh,1,6,0.0,0.000358658616773268
 Ashley E Cain,1,6,0.0,0.000358658616773268
 Ata Ghadiri,1,6,0.0,0.000358658616773268
 Attila Lehotzky,1,6,0.0,0.000358658616773268
 Atul Mehta,1,6,0.0,0.000358658616773268
 Audrey Hashim,1,6,0.0,0.000358658616773268
 Aurélie Kas,1,6,0.0,0.000358658616773268
 Ayako Nakamura,1,6,0.0,0.000358658616773268
 B Bergamasco,1,6,0.0,0.000358658616773268
 B Debû,1,6,0.0,0.000358658616773268
 B Gaszner,1,6,0.0,0.000358658616773268
 B Kern,1,6,0.0,0.000358658616773268
 Babak Ardekani,1,6,0.0,0.000358658616773268
 Babak Baban,1,6,0.0,0.000358658616773268
 Bai-Yun Zeng,1,6,0.0,0.000358658616773268
 Banabihari Giri,1,6,0.0,0.000358658616773268
 Barbara E Taylor,1,6,0.0,0.000358658616773268
 Barbara J Sahakian,1,6,0.0,0.000358658616773268
 Barbara Leube,1,6,0.0,0.000358658616773268
 Bei-Sha Tang,1,6,0.0,0.000358658616773268
 Ben Loos,1,6,0.0,0.000358658616773268
 Benjamin L Walter,1,6,0.0,0.000358658616773268
 Benoît C Coffin,1,6,0.0,0.000358658616773268
 Bernadett Marko,1,6,0.0,0.000358658616773268
 Bernard Cohen,1,6,0.0,0.000358658616773268
 Bernd Joachim Krause,1,6,0.0,0.000358658616773268
 Bernd Saletu,1,6,0.0,0.000358658616773268
 Berril Dönmez Çolakoğlu,1,6,0.0,0.000358658616773268
 Berta Puig,1,6,0.0,0.000358658616773268
 Bettina Haidich,1,6,0.0,0.000358658616773268
 Bo Huang,1,6,0.0,0.000358658616773268
 Bo Peng,1,6,0.0,0.000358658616773268
 BoSuk Park,1,6,0.0,0.000358658616773268
 Boaz Bloch,1,6,0.0,0.000358658616773268
 Bogdan Draganski,1,6,0.0,0.000358658616773268
 Bouwien C M Smits-Engelsman,1,6,0.0,0.000358658616773268
 Bradley A Wallace,1,6,0.0,0.000358658616773268
 Bradley F Boeve,1,6,0.0,0.000358658616773268
 Bradley Hiner,1,6,0.0,0.000358658616773268
 Brenda Flood,1,6,0.0,0.000358658616773268
 Brian J Cummings,1,6,0.0,0.000358658616773268
 Bruna Adriana Da Silva,1,6,0.0,0.000358658616773268
 Brunetta Porcelli,1,6,0.0,0.000358658616773268
 Bum Soo Kim,1,6,0.0,0.000358658616773268
 C A Carroll,1,6,0.0,0.000358658616773268
 C Bonnet,1,6,0.0,0.000358658616773268
 C Buhmann,1,6,0.0,0.000358658616773268
 C Coronell,1,6,0.0,0.000358658616773268
 C Fromm,1,6,0.0,0.000358658616773268
 C G Ballard,1,6,0.0,0.000358658616773268
 C Gerloff,1,6,0.0,0.000358658616773268
 C H Williams-Gray,1,6,0.0,0.000358658616773268
 C Helmchen,1,6,0.0,0.000358658616773268
 C Hommet,1,6,0.0,0.000358658616773268
 C Lungu,1,6,0.0,0.000358658616773268
 C M Nam,1,6,0.0,0.000358658616773268
 C Michael White,1,6,0.0,0.000358658616773268
 C Pastor,1,6,0.0,0.000358658616773268
 C Pflug,1,6,0.0,0.000358658616773268
 C Pont,1,6,0.0,0.000358658616773268
 C R Cimino,1,6,0.0,0.000358658616773268
 C Torriani-Pasin,1,6,0.0,0.000358658616773268
 C W Cheng,1,6,0.0,0.000358658616773268
 C Williams-Gray,1,6,0.0,0.000358658616773268
 C Winter,1,6,0.0,0.000358658616773268
 Carla Sedia,1,6,0.0,0.000358658616773268
 Carlos García-Sancho,1,6,0.0,0.000358658616773268
 Carolina Alquézar,1,6,0.0,0.000358658616773268
 Caroline B Terwee,1,6,0.0,0.000358658616773268
 Caroline Frick,1,6,0.0,0.000358658616773268
 Carsten Korth,1,6,0.0,0.000358658616773268
 Casey H Halpern,1,6,0.0,0.000358658616773268
 Cecilia Kämpe Björkvall,1,6,0.0,0.000358658616773268
 Cecilia Lundberg,1,6,0.0,0.000358658616773268
 Ch Ratnasekhar,1,6,0.0,0.000358658616773268
 Chaodong Wang,1,6,0.0,0.000358658616773268
 Chaozhe Zhu,1,6,0.0,0.000358658616773268
 Charalambos Giantselidis,1,6,0.0,0.000358658616773268
 Charles Duyckaerts,1,6,0.0,0.000358658616773268
 Charles Locke,1,6,0.0,0.000358658616773268
 Charles W Schindler,1,6,0.0,0.000358658616773268
 Chen Jiang,1,6,0.0,0.000358658616773268
 Cheng-Xue Du,1,6,0.0,0.000358658616773268
 Chia Wen Chang,1,6,0.0,0.000358658616773268
 Chiara Busi,1,6,0.0,0.000358658616773268
 Chiharu Tsuji,1,6,0.0,0.000358658616773268
 Chiung Mei Chen,1,6,0.0,0.000358658616773268
 Chiz-Liang Kuao,1,6,0.0,0.000358658616773268
 Chong S Lee,1,6,0.0,0.000358658616773268
 Chris C Hanstock,1,6,0.0,0.000358658616773268
 Chris Vriend,1,6,0.0,0.000358658616773268
 Christan F Rohé,1,6,0.0,0.000358658616773268
 Christelle Monaca Charley,1,6,0.0,0.000358658616773268
 Christian Benedict,1,6,0.0,0.000358658616773268
 Christian F Beckmann,1,6,0.0,0.000358658616773268
 Christina Antke,1,6,0.0,0.000358658616773268
 Christina F Lassen,1,6,0.0,0.000358658616773268
 Christina M Whitney,1,6,0.0,0.000358658616773268
 Christine Stichel-Gunkel,1,6,0.0,0.000358658616773268
 Christophe Drieu La Rochelle,1,6,0.0,0.000358658616773268
 Christopher C Hanstock,1,6,0.0,0.000358658616773268
 Christopher H Hawkes,1,6,0.0,0.000358658616773268
 Christopher R P Lind,1,6,0.0,0.000358658616773268
 Christopher Turner,1,6,0.0,0.000358658616773268
 Chun-Wen Cheng,1,6,0.0,0.000358658616773268
 Chunshui Yu,1,6,0.0,0.000358658616773268
 Claire Bamford,1,6,0.0,0.000358658616773268
 Clarissa Cavarsan,1,6,0.0,0.000358658616773268
 Claudio Pollo,1,6,0.0,0.000358658616773268
 Consuelo Filippetto,1,6,0.0,0.000358658616773268
 Coralie de Hemptinne,1,6,0.0,0.000358658616773268
 Craig I Coleman,1,6,0.0,0.000358658616773268
 Craig Kinnear,1,6,0.0,0.000358658616773268
 Cristina Missale,1,6,0.0,0.000358658616773268
 Cun-Ju Guo,1,6,0.0,0.000358658616773268
 Céline Tard,1,6,0.0,0.000358658616773268
 D A Copland,1,6,0.0,0.000358658616773268
 D C Wirtz,1,6,0.0,0.000358658616773268
 D E Shan,1,6,0.0,0.000358658616773268
 D J Sullivan,1,6,0.0,0.000358658616773268
 D L Bailey,1,6,0.0,0.000358658616773268
 D Perrier,1,6,0.0,0.000358658616773268
 D Reglodi,1,6,0.0,0.000358658616773268
 Dalton James Surmeier,1,6,0.0,0.000358658616773268
 Dan Du,1,6,0.0,0.000358658616773268
 Dan Tan,1,6,0.0,0.000358658616773268
 Daniel C Javitt,1,6,0.0,0.000358658616773268
 Daniel E Lewis,1,6,0.0,0.000358658616773268
 Daniel Fagret,1,6,0.0,0.000358658616773268
 Daniel Roggen,1,6,0.0,0.000358658616773268
 Daniel Tsun-Yee Chiu,1,6,0.0,0.000358658616773268
 Daniela Brodesser,1,6,0.0,0.000358658616773268
 Daniela De Zio,1,6,0.0,0.000358658616773268
 Danielle E Filipkowski,1,6,0.0,0.000358658616773268
 Danni Cheng,1,6,0.0,0.000358658616773268
 Daun Bahr,1,6,0.0,0.000358658616773268
 David A Copland,1,6,0.0,0.000358658616773268
 David A Lagnado,1,6,0.0,0.000358658616773268
 David B Teplow,1,6,0.0,0.000358658616773268
 David E Riley,1,6,0.0,0.000358658616773268
 David J Eve,1,6,0.0,0.000358658616773268
 David J Sandness,1,6,0.0,0.000358658616773268
 David R Grattan,1,6,0.0,0.000358658616773268
 David S Warner,1,6,0.0,0.000358658616773268
 David Skoloudik,1,6,0.0,0.000358658616773268
 Dawei Gao,1,6,0.0,0.000358658616773268
 Dawn K Reichenbach,1,6,0.0,0.000358658616773268
 De-Hua Xu,1,6,0.0,0.000358658616773268
 Debapratim Kar Chowdhuri,1,6,0.0,0.000358658616773268
 Debendranath Dey,1,6,0.0,0.000358658616773268
 Deepak K Suke,1,6,0.0,0.000358658616773268
 Deepthi Yedlapudi,1,6,0.0,0.000358658616773268
 Deidre Pye,1,6,0.0,0.000358658616773268
 Delia Daian,1,6,0.0,0.000358658616773268
 Denise Greca,1,6,0.0,0.000358658616773268
 Deniz Kahraman,1,6,0.0,0.000358658616773268
 Dennis Zgaljardic,1,6,0.0,0.000358658616773268
 Dhirendra Singh,1,6,0.0,0.000358658616773268
 Diane S Huss,1,6,0.0,0.000358658616773268
 Diego Centonze,1,6,0.0,0.000358658616773268
 Dilshan S Harischandra,1,6,0.0,0.000358658616773268
 Dimitrios A Andreadis,1,6,0.0,0.000358658616773268
 Dimitrios Fotiou,1,6,0.0,0.000358658616773268
 Dimitrios G Fatouros,1,6,0.0,0.000358658616773268
 Dimitrios Tsiptsios,1,6,0.0,0.000358658616773268
 Do-Young Kwon,1,6,0.0,0.000358658616773268
 Dolores Martínez-Rubio,1,6,0.0,0.000358658616773268
 Domenico Collaro,1,6,0.0,0.000358658616773268
 Domingo Afonso-Oramas,1,6,0.0,0.000358658616773268
 Dominique Delalot,1,6,0.0,0.000358658616773268
 Dominique S Petrus,1,6,0.0,0.000358658616773268
 Donato Di Monte,1,6,0.0,0.000358658616773268
 Dong-Mei Zhao,1,6,0.0,0.000358658616773268
 Dongdong Wu,1,6,0.0,0.000358658616773268
 Doris Lenartz,1,6,0.0,0.000358658616773268
 Doulaye Dembélé,1,6,0.0,0.000358658616773268
 Duane B Corbett,1,6,0.0,0.000358658616773268
 E Erginöz,1,6,0.0,0.000358658616773268
 E Fritzer,1,6,0.0,0.000358658616773268
 E H Sharman,1,6,0.0,0.000358658616773268
 E Heremans,1,6,0.0,0.000358658616773268
 E Millan,1,6,0.0,0.000358658616773268
 E R Smith,1,6,0.0,0.000358658616773268
 E Růžička,1,6,0.0,0.000358658616773268
 Eberhard Siebert,1,6,0.0,0.000358658616773268
 Ece Mutlu,1,6,0.0,0.000358658616773268
 Eduardo Spinedi,1,6,0.0,0.000358658616773268
 Edward T Bullmore,1,6,0.0,0.000358658616773268
 Eero Pekkonen,1,6,0.0,0.000358658616773268
 Egberto R Barbosa,1,6,0.0,0.000358658616773268
 Ekaterina Yu Fedotova,1,6,0.0,0.000358658616773268
 Elaine Del Bel,1,6,0.0,0.000358658616773268
 Elaine Del-Bel,1,6,0.0,0.000358658616773268
 Elena Romeo,1,6,0.0,0.000358658616773268
 Elena V Filatova,1,6,0.0,0.000358658616773268
 Elisa Pelosin,1,6,0.0,0.000358658616773268
 Elisa Visentin,1,6,0.0,0.000358658616773268
 Elke Heremans,1,6,0.0,0.000358658616773268
