authors,number of publications,Degree,Betweenness,Deg_Cent
Angelo Antonini,2,49,0.0016182294040381654,0.002929045370315022
 Hyoung-Chun Kim,3,31,0.0016164511166087473,0.001853069519995218
 John Hardy,3,25,0.001615670641689856,0.00149441090322195
 Belinda Wilson,3,27,0.0016111245179594705,0.001613963775479706
 Kwang-Soo Kim,4,31,0.0015951603556500695,0.001853069519995218
 Bart Nuttin,2,26,0.0015856941855503,0.0015541873393508279
 Martijn Beudel,2,19,0.0015668117154944141,0.0011357522864486821
 Jeffrey H Kordower,6,27,0.001553127220026845,0.001613963775479706
 Susan H Fox,5,16,0.001539615496374756,0.0009564229780620481
 Wolfgang H Oertel,6,43,0.0015342479956798698,0.0025703867535417533
 John G Nutt,4,22,0.0015113096817043427,0.001315081594835316
 M Barcikowska,2,31,0.0015112417864217953,0.001853069519995218
 Carlos Cruchaga,2,19,0.0015112417864217953,0.0011357522864486821
 Daniel Weintraub,8,45,0.0014861093955628722,0.00268993962579951
 Zbigniew K Wszolek,6,47,0.0014848305334463358,0.002809492498057266
 Suzanne Lesage,3,68,0.0014793038335998675,0.0040647976567637035
 Anna Rita Bentivoglio,3,52,0.0014776828753796725,0.0031083746787016558
 Jie Liu,2,24,0.0014749547482530542,0.001434634467093072
 G Fabbrini,3,20,0.0014712764790529905,0.00119552872257756
 T Foltynie,2,23,0.0014706547012022953,0.001374858030964194
 Nicholas W Wood,6,61,0.0014693727738486154,0.0036463626038615578
 Trevor W Robbins,4,13,0.0014505827116198045,0.0007770936696754138
Naomi P Visanji,2,9,0.0014349441461961798,0.000537987925159902
 Yang Liu,4,28,0.0014328120147720695,0.001673740211608584
 Vesna Sossi,6,34,0.0014304802626887998,0.0020323988283818518
 Yi Guo,2,12,0.0014300533222391012,0.0007173172335465358
 Hiroko Tsunekawa,2,11,0.001430053322239101,0.000657540797417658
 Mario Ezquerra,2,19,0.0013894376495322126,0.0011357522864486821
 J Zhang,2,17,0.0013894376495322126,0.0010161994141909259
 Michele Tinazzi,4,71,0.001383213477208372,0.004244126965150338
 Luc Defebvre,8,53,0.0013623906315143755,0.003168151114830534
 Poul Henning Jensen,4,29,0.0013542133411101507,0.0017335166477374618
 Marco Onofrj,3,94,0.001336845369154051,0.005618984996114532
 Nicola Vanacore,3,74,0.0013122655042769385,0.004423456273536972
 James B Koprich,2,9,0.0012984966429197425,0.000537987925159902
 Xuebing Cao,3,33,0.0012676120720270894,0.001972622392252974
 Mark R Cookson,6,41,0.0012301046411310366,0.002450833881283998
 Mathias Bähr,5,28,0.001228206602952971,0.001673740211608584
 Kook-Jin Ahn,2,18,0.0012236879081458547,0.001075975850319804
 G M Hadjigeorgiou,2,28,0.001205125910649873,0.001673740211608584
 John E Duda,4,41,0.0012011957941202042,0.002450833881283998
 Gang Hu,10,41,0.0011909344751251795,0.002450833881283998
 Miquel Vila,4,14,0.0011868881545144545,0.000836870105804292
